196307	3569.5	56.041	1185.4	2123.7	931.9	8.902	65.7	3.29	3.66			
196310	3595.0	56.476	1173.7	2141.4	926.1	9.005	67.7	3.50	8.97			
196401	3672.7	57.525	1177.3	2183.6	926.7	8.998	69.1	3.53	7.83			
196404	3716.4	57.775	1187.9	2222.0	934.1	9.098	71.1	3.48	7.63			
196407	3766.9	58.145	1189.4	2262.8	936.0	9.217	73.4	3.50	7.11			
196410	3780.2	58.710	1189.0	2269.2	936.2	9.286	75.3	3.68	4.91			
196501	3873.5	59.627	1187.7	2319.8	938.9	9.322	80.2	3.89	4.46			
196504	3926.4	60.218	1202.0	2345.5	950.6	9.385	83.4	3.87	5.13			
196507	4006.2	60.360	1241.7	2385.9	980.6	9.484	86.7	3.87	-0.49			
196510	4100.6	60.932	1265.4	2452.9	1002.8	9.625	90.6	4.17	10.79			
196601	4201.9	61.812	1289.0	2489.1	1015.5	9.791	94.4	4.61	5.11			
196604	4219.1	62.418	1313.4	2495.4	1042.1	9.947	96.8	4.59	1.15			
196607	4249.2	62.710	1349.1	2523.8	1068.5	10.089	98.3	5.04	-3.18			
196610	4285.6	62.541	1372.4	2534.2	1083.9	10.226	99.2	5.21	-6.79			
196701	4324.9	62.471	1429.8	2548.9	1133.8	10.364	98.0	4.51	13.22			
196704	4328.7	62.088	1424.2	2583.7	1136.3	10.532	98.3	3.66	11.14			
196707	4366.1	62.292	1440.2	2596.9	1148.5	10.675	98.8	4.30	5.45			
196710	4401.2	62.576	1451.4	2612.7	1160.9	10.820	101.7	4.75	5.99			
196801	4490.6	62.687	1477.2	2674.8	1189.4	11.111	105.6	5.05	2.41			
196804	4566.4	63.288	1485.0	2715.6	1194.8	11.291	105.3	5.52	3.78			
196807	4599.3	63.731	1489.7	2766.6	1202.3	11.476	107.6	5.20	7.98			
196810	4619.8	64.124	1491.0	2779.1	1207.7	11.705	112.2	5.59	6.52			
196901	4691.6	64.725	1494.7	2810.2	1204.8	11.864	116.0	6.09	1.23			
196904	4706.7	65.324	1490.0	2828.2	1212.2	12.056	118.4	6.20	2.36			
196907	4736.1	65.637	1493.5	2841.9	1218.6	12.272	122.4	7.02	-3.41			
196910	4715.5	65.438	1473.9	2864.6	1215.6	12.509	123.3	7.35	4.18			
197001	4707.1	65.180	1466.9	2882.3	1203.3	12.735	123.8	7.21	-2.14			
197004	4715.4	64.321	1450.2	2895.6	1191.1	12.938	125.0	6.68	-1.31			
197007	4757.2	63.994	1456.5	2921.1	1193.4	13.151	126.3	6.33	-8.2			
197010	4708.3	63.506	1457.2	2913.1	1193.6	13.281	123.5	5.35	15.61			
197101	4834.3	63.805	1436.1	2968.9	1189.7	13.555	126.3	3.84	14.52			
197104	4861.9	64.011	1432.8	2996.1	1188.3	13.754	129.5	4.25	13.5			
197107	4900.0	64.012	1432.4	3020.0	1186.6	13.943	131.2	5.01	-0.88			
197110	4914.3	64.697	1422.6	3070.2	1181.7	14.039	134.7	4.23	1.39			
197201	5002.4	65.485	1429.3	3110.8	1186.0	14.415	140.6	3.44	9.33			
197204	5118.3	65.954	1438.0	3170.2	1192.2	14.585	144.0	3.77	8.3			
197207	5165.4	66.325	1409.3	3219.1	1173.4	14.780	147.0	4.22	1.35			
197210	5251.2	67.018	1420.1	3294.6	1173.3	15.057	155.0	4.86	5.13			
197301	5380.5	68.031	1431.6	3354.8	1173.6	15.453	162.8	5.70	10.91			
197304	5441.5	68.742	1424.5	3353.4	1172.7	15.668	171.3	6.60	-4.15			
197307	5411.9	69.207	1406.4	3365.3	1163.1	15.940	176.6	8.32	-1.15			
197310	5462.4	69.550	1415.8	3355.5	1171.3	16.262	180.1	7.50	6.91			
197401	5417.0	69.254	1442.4	3326.2	1185.1	16.633	183.4	7.62	-9.37			
197404	5431.3	69.435	1451.6	3337.9	1182.2	17.068	188.8	8.15	-0.2			
197407	5378.7	69.194	1453.5	3351.6	1184.8	17.575	194.5	8.19	-10.4			
197410	5357.2	68.050	1459.9	3302.5	1194.2	18.060	197.6	7.36	-7.91			
197501	5292.4	65.915	1476.1	3330.1	1204.5	18.607	193.1	5.75	9.71			
197504	5333.2	65.307	1466.2	3385.7	1211.2	19.005	193.3	5.39	21.83			
197507	5421.4	65.905	1489.5	3434.1	1219.3	19.340	197.8	6.33	13.55			
197510	5494.4	67.036	1503.4	3470.5	1223.7	19.656	202.9	5.63	-0.24			
197601	5618.5	68.145	1506.5	3539.9	1220.4	20.030	209.5	4.92	13.52			
197604	5661.0	68.169	1491.4	3572.4	1220.1	20.408	215.0	5.16	9.04			
197607	5689.8	68.440	1483.9	3610.3	1216.9	20.837	222.6	5.15	5.98			
197610	5732.5	68.806	1484.4	3657.5	1224.5	21.282	230.2	4.67	1.55			
197701	5799.2	69.539	1497.3	3699.3	1231.0	21.683	243.3	4.63	5.88			
197704	5913.0	70.866	1512.0	3719.7	1241.6	22.124	253.7	4.84	-0.48			
197707	6017.6	71.624	1515.4	3755.2	1250.0	22.555	263.3	5.50	5.61			
197710	6018.2	72.324	1512.1	3811.8	1253.2	22.946	275.9	6.11	-1.9			
197801	6039.2	72.658	1513.9	3833.8	1258.0	23.721	282.4	6.39	1.31			
197804	6274.0	74.783	1554.1	3915.6	1272.2	23.979	309.3	6.48	8.08			
197807	6335.3	75.412	1566.4	3932.0	1276.7	24.342	325.1	7.31	10.17			
197810	6420.3	76.326	1580.6	3963.5	1286.0	24.914	341.4	8.57	8.69			
197901	6433.0	76.869	1566.9	3983.6	1287.9	25.662	356.7	9.38	4.2			
197904	6440.8	77.180	1583.0	3981.3	1292.7	26.227	364.3	9.38	7.66			
197907	6487.1	77.828	1585.1	4020.4	1280.5	26.836	383.0	9.67	5.87			
197910	6503.9	77.980	1595.4	4031.2	1290.1	27.526	391.3	11.84	7.16			
198001	6524.9	77.794	1620.2	4025.0	1303.3	28.311	404.5	13.35	11.58			
198004	6392.6	76.438	1625.9	3934.5	1318.4	29.040	394.7	9.62	-1.85			
198007	6382.9	76.088	1601.9	3976.9	1302.0	29.757	405.7	9.15	22.12			
198010	6501.2	77.027	1601.8	4029.6	1300.1	30.587	422.8	13.61	13.77			
198101	6635.7	77.452	1622.8	4050.8	1312.6	31.388	443.0	14.39	6.91			
198104	6587.3	77.479	1627.9	4050.1	1325.5	31.934	462.9	14.91	5.8			
198107	6662.9	77.453	1621.6	4066.4	1323.9	32.626	482.1	15.05	0.84			
198110	6585.1	77.155	1639.9	4035.9	1335.3	33.134	503.8	11.75	-2.12			
198201	6475.0	75.913	1638.2	4062.6	1341.1	33.988	500.1	12.81	3.47			
198204	6510.2	76.208	1648.9	4077.6	1342.9	34.285	490.1	12.42	4.9			
198207	6486.8	75.668	1659.3	4109.1	1355.9	34.817	478.7	9.32	-0.07			
198210	6493.1	74.984	1685.8	4184.1	1374.1	35.311	471.5	7.91	27.57			
198301	6578.2	75.423	1701.9	4224.8	1391.0	35.703	462.1	8.11	13.93			
198304	6728.3	76.266	1719.1	4308.4	1405.0	36.060	466.4	8.40	14.08			
198307	6860.0	77.767	1747.3	4384.0	1422.7	36.259	485.4	9.14	10.31			
198310	7001.5	79.222	1718.0	4453.1	1389.3	36.651	514.7	8.80	4.63			
198401	7140.6	80.742	1738.1	4490.9	1402.7	37.113	531.5	9.17	3.47			
198404	7266.0	81.814	1777.1	4554.9	1433.6	37.474	558.3	9.80	-0.95			
198407	7337.5	82.190	1791.8	4589.9	1443.4	38.004	576.6	10.32	0.53			
198410	7396.0	82.732	1826.0	4650.6	1460.3	38.301	590.9	8.80	13.98			
198501	7469.5	83.409	1848.0	4729.7	1481.5	38.800	599.4	8.18	8.72			
198504	7537.9	83.950	1891.0	4774.1	1507.8	39.167	609.1	7.46	9.72			
198507	7655.2	84.178	1935.4	4865.8	1540.5	39.752	604.4	7.11	10.89			
198510	7712.6	84.576	1941.8	4878.3	1550.0	40.511	618.1	7.17	0.81			
198601	7784.1	84.456	1958.0	4919.6	1564.0	41.108	613.5	6.90	16.08			
198604	7819.8	84.258	1997.8	4974.6	1594.9	41.554	605.0	6.14	18.18			
198607	7898.6	84.684	2043.4	5064.7	1622.3	42.068	602.0	5.52	4.35			
198610	7939.5	85.326	2031.5	5097.1	1618.7	42.625	610.6	5.35	2.27			
198701	7995.0	86.349	2044.3	5097.9	1626.7	42.840	596.6	5.54	14.91			
198704	8084.7	86.842	2062.9	5168.6	1637.5	43.149	608.4	5.66	12.55			
198707	8158.0	87.450	2067.7	5228.5	1636.5	43.599	625.5	6.04	10.15			
198710	8292.7	88.351	2092.8	5239.5	1666.2	44.126	630.5	5.86	-6.83			
198801	8339.3	88.430	2078.6	5332.7	1663.3	44.900	641.5	5.72	-7.44			
198804	8449.5	89.694	2086.1	5371.8	1666.7	45.428	659.4	6.21	8.44			
198807	8498.3	89.941	2087.5	5417.7	1672.6	45.973	666.3	7.01	6.02			
198810	8610.9	90.939	2126.8	5479.7	1708.7	46.309	681.9	7.73	6.63			
198901	8697.7	91.832	2117.2	5505.0	1702.7	46.482	696.3	8.54	6.42			
198904	8766.1	92.199	2151.8	5530.9	1735.2	46.654	708.9	8.41	9.46			
198907	8831.5	92.408	2169.8	5585.9	1744.6	47.067	731.2	7.84	13.24			
198910	8850.2	92.421	2181.5	5610.5	1758.0	47.725	727.5	7.65	7.92			
199001	8947.1	92.643	2215.8	5658.7	1780.5	48.706	740.9	7.76	1.07			
199004	8981.7	92.129	2221.2	5676.4	1787.6	49.719	734.2	7.75	2.84			
199007	8983.9	91.543	2219.9	5699.3	1786.8	50.422	744.3	7.48	9.93			
199010	8907.4	91.078	2240.2	5656.2	1802.9	50.837	737.6	6.99	-11.38			
199101	8865.6	90.126	2251.2	5636.7	1825.6	51.227	729.8	6.02	9.92			
199104	8934.4	89.573	2259.2	5684.0	1830.1	52.184	726.8	5.56	20.38			
199107	8977.3	89.472	2250.8	5711.6	1824.1	52.789	720.1	5.38	3.36			
199110	9016.4	89.363	2242.3	5710.1	1818.9	53.441	717.6	4.54	4.97			
199201	9123.0	88.902	2259.7	5817.3	1830.3	54.779	714.2	3.89	10.71			
199204	9223.5	89.292	2256.8	5857.2	1833.9	55.253	736.7	3.68	0.88			
