time,new,old
1900,1.11002405524674,1.1302476908808
1905,1.11693892141278,1.1374187695102
1910,1.12744455181074,1.14825118137953
1915,1.12256904232197,1.14366000178969
1920,1.12241728818911,1.14380659928618
1925,1.14618628838777,1.16817747484029
1930,1.16363596207735,1.18614281052356
1935,1.16770404115127,1.19028622603492
1940,1.09498301025192,1.11575345117924
1945,1.12548212437117,1.14712574144043
1950,1.17158297290723,1.19395105029868
1955,1.2091316228939,1.23192744460139
1960,1.2606090953234,1.28385615318742
1965,1.29242191850934,1.31573849268907
1970,1.30433277632335,1.32793667771887
1975,1.33069162842492,1.35520703840119
1980,1.363742250286,1.38953634219723
1985,1.39798697657579,1.42509674673681
1990,1.43761417050324,1.45236490174739
1995,1.46171659092901,1.471954822138
2000,1.49105201288961,1.49995769554299
2005,1.52820793546328,1.53678705781102
2010,1.55173865201956,1.55956168475478
2015,1.55240525971564,1.58149606653965
2020,1.53784825371838,1.57691589487386
2025,1.52190838703693,1.56744753502906
2030,1.5037228952155,1.55524932200861
2035,1.4917786610217,1.54738440314317
2040,1.48936432369434,1.54770461253181
2045,1.48623461589623,1.55105256138123
2050,1.4755069373741,1.54989606479613
2055,1.46343403610697,1.54771149615153
2060,1.4557210524579,1.5505157075029
2065,1.44669731859493,1.55023003773657
2070,1.43612278210079,1.5484363525334
2075,1.42190578425958,1.54722132052272
2080,1.40757247217302,1.54684640204438
2085,1.39773550621237,1.54540962221031
2090,1.39038776352373,1.54231456400582
2095,1.38150793585401,1.53832943403719
