mod,def,variable,value
age_60,0.14,welf_Q_10,-6.64869752264102
age_60,0.14,welf_Q_11,-5.86038454661151
age_60,0.14,welf_Q_12,-5.09370803286932
age_60,0.14,welf_Q_13,-4.33459687709641
age_60,0.14,welf_Q_14,-3.56702860456319
age_60,0.14,welf_Q_15,-2.77309818226262
age_60,0.14,welf_Q_16,-1.93167240516609
age_60,0.14,welf_Q_17,-1.0174773658255
age_60,0.14,a_Q_1,1.26144925297404
age_60,0.14,a_Q_2,1.26122837303959
age_60,0.14,a_Q_3,1.26916648611806
age_60,0.14,a_Q_4,1.27919680102088
age_60,0.14,a_Q_5,1.28183476971725
age_60,0.14,a_Q_6,1.26835487594375
age_60,0.14,a_Q_7,1.23594742480458
age_60,0.14,a_Q_8,1.18951110598288
age_60,0.14,a_Q_9,1.13866585636555
age_60,0.14,ih_Q_1,0.00727607185415574
age_60,0.14,ih_Q_2,0.00827032159941545
age_60,0.14,ih_Q_3,0.00995758031127473
age_60,0.14,ih_Q_4,0.0114450390565932
age_60,0.14,ih_Q_5,0.0137225666835138
age_60,0.14,ih_Q_6,0.0162164105165572
age_60,0.14,ih_Q_7,0.0193355082582416
age_60,0.14,ih_Q_8,0.0235666707166332
age_60,0.14,ih_Q_9,0.0291233083658123
age_60,0.14,ih_Q_10,0.0354617328905929
age_60,0.14,ih_Q_11,0.0449816683597878
age_60,0.14,ih_Q_12,0.0579577192476525
age_60,0.14,ih_Q_13,0.0752632068421897
age_60,0.14,ih_Q_14,0.0969128682688122
age_60,0.14,ih_Q_15,0.106700171686629
age_60,0.14,ih_Q_16,0.118332731462245
age_60,0.14,ih_Q_17,0.132181620312837
age_60,0.14,L_Q,2.49190939009945
age_60,0.14,MPL_Q,0.428122616743221
age_60,0.14,penind_Q,0.256057821090635
age_60,0.14,pi_Q,0.3
age_60,0.14,Psc_Q,2.46280015022866
age_60,0.14,k_NQ_1,0
age_60,0.14,k_NQ_2,0.0707479795819239
age_60,0.14,k_NQ_3,0.143008088865472
age_60,0.14,k_NQ_4,0.217606208878414
age_60,0.14,k_NQ_5,0.29458587793246
age_60,0.14,k_NQ_6,0.372511463293069
age_60,0.14,k_NQ_7,0.448329053534001
age_60,0.14,k_NQ_8,0.518042267123247
age_60,0.14,k_NQ_9,0.577807516098616
age_60,0.14,k_NQ_10,0.624745588099601
age_60,0.14,k_NQ_11,0.625062695303419
age_60,0.14,k_NQ_12,0.609746382471742
age_60,0.14,k_NQ_13,0.575999877836553
age_60,0.14,k_NQ_14,0.520635115143955
age_60,0.14,k_NQ_15,0.439976274910817
age_60,0.14,k_NQ_16,0.329771828308777
age_60,0.14,k_NQ_17,0.18506026171349
age_60,0.14,c_NQ_1,0.111258324288174
age_60,0.14,c_NQ_2,0.122660406179925
age_60,0.14,c_NQ_3,0.134739442557262
age_60,0.14,c_NQ_4,0.14744881182195
age_60,0.14,c_NQ_5,0.160724063277614
age_60,0.14,c_NQ_6,0.174481655048733
age_60,0.14,c_NQ_7,0.18861836877684
age_60,0.14,c_NQ_8,0.203011618535129
age_60,0.14,c_NQ_9,0.217520699911918
age_60,0.14,c_NQ_10,0.23198845336614
age_60,0.14,c_NQ_11,0.24624699201986
age_60,0.14,c_NQ_12,0.260124169367885
age_60,0.14,c_NQ_13,0.273452724276842
age_60,0.14,c_NQ_14,0.286079880640686
age_60,0.14,c_NQ_15,0.29784159856352
age_60,0.14,c_NQ_16,0.308588207343727
age_60,0.14,c_NQ_17,0.318191829115613
age_60,0.14,lab_NQ_1,0.937182767592613
age_60,0.14,lab_NQ_2,0.930955022750186
age_60,0.14,lab_NQ_3,0.924770029087501
age_60,0.14,lab_NQ_4,0.918437572856398
age_60,0.14,lab_NQ_5,0.911506012217053
age_60,0.14,lab_NQ_6,0.903415785450831
age_60,0.14,lab_NQ_7,0.893755566372657
age_60,0.14,lab_NQ_8,0.882487088197094
age_60,0.14,lab_NQ_9,0.870037819033882
age_60,0.14,w_NQ_1,0.302482402607564
age_60,0.14,w_NQ_2,0.3036072511746
age_60,0.14,w_NQ_3,0.307055301905556
age_60,0.14,w_NQ_4,0.311075556917901
age_60,0.14,w_NQ_5,0.312923326089534
age_60,0.14,w_NQ_6,0.310076873904123
age_60,0.14,w_NQ_7,0.301721242221378
age_60,0.14,w_NQ_8,0.289265756026239
age_60,0.14,w_NQ_9,0.275482682626833
age_60,0.14,beta_NQ_2,0.989753617229698
age_60,0.14,beta_NQ_3,0.984361894394715
age_60,0.14,beta_NQ_4,0.978788973572861
age_60,0.14,beta_NQ_5,0.973035557273522
age_60,0.14,beta_NQ_6,0.967102653537423
age_60,0.14,beta_NQ_7,0.960993810572407
age_60,0.14,beta_NQ_8,0.954716954885513
age_60,0.14,beta_NQ_9,0.948284865228467
age_60,0.14,beta_NQ_10,0.94171163887477
age_60,0.14,beta_NQ_11,0.9350312346418
age_60,0.14,beta_NQ_12,0.928290551632628
age_60,0.14,beta_NQ_13,0.921555708542743
age_60,0.14,beta_NQ_14,0.914906817972013
age_60,0.14,beta_NQ_15,0.908272842835092
age_60,0.14,beta_NQ_16,0.901696177956032
age_60,0.14,beta_NQ_17,0.895228331912287
